Genotype	Tetrad	Tetrad.CO.Event	Chr	Chromatid1	Chromatid2	GC_tracLength	GC.nbSNP	flankingSNP.F1	flankingSNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	FlankingSNP1.Ler	FlankingSNP2.Ler	taille_Col	Taille_Ler	difference_Col_Ler	SNP_density	is.complexGCCO
QAB	QAB_Tet13	QAB_Tet13_CO_13	Chr5	2	3	1087.5	2	1989825	1991882	13	11	13_15_15_11	2008185	2010230	2057	2045	12	0.0972289742343218	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_14	Chr5	1	4	0	0	8123690	8126021	11	4	11_4	8131584	8133913	2331	2329	2	0	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_8	Chr1	1	3	1361	1	4526278	4529000	4	7	4-8-3-7	4560069	4562789	2722	2720	2	0.0367376928728876	TRUE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_6	Chr1	2	4	0	0	4969845	4977190	7	13	7_13	5002770	5010114	7345	7344	1	0	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_7	Chr1	1	3	1765.5	1	7425374	7428905	13	10	13_9_10	7402710	7406237	3531	3527	4	0.0283205890682526	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_1	Chr1	1	3	1086.5	5	27973334	27974913	10	13	10_9_9_9_9_9_13	26920357	26921905	1579	1548	31	0.316656111462951	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_10	Chr2	1	2	0	0	355322	355672	6	7	6-14-6-6-6-6-6-6-6-7	298020	298375	350	355	-5	0	TRUE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_11	Chr2	1	2	1350	2	9570129	9572595	7	6	7_5_5_6	8905922	8908384	2466	2462	4	0.08110300081103	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_9	Chr2	3	4	597	3	18349656	18350739	6	10	6_14_14_14_10	17690900	17691977	1083	1077	6	0.277008310249307	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_12	Chr3	1	2	0	0	21233300	21233536	7	6	7_6	20450970	20451205	236	235	1	0	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_13	Chr4	1	2	1048	2	158613	160421	6	7	6_5_5_7	175717	177526	1808	1809	-1	0.110619469026549	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_15	Chr4	3	4	1765	3	16452695	16454785	7	11	7_3_3_3_11	15810268	15812355	2090	2087	3	0.143540669856459	FALSE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_14	Chr4	1	4	1527	14	17605283	17608214	11	2	11-3-11-11-3_3_3_3_3_3_3_3_3_3_3_3_3_3-2-4	16983902	16986808	2931	2906	25	0.477652678266803	TRUE
FiFa	FiFa_Tet14	FiFa_Tet14_CO_16	Chr5	1	3	835.5	1	21641986	21643657	7	4	7_3_4	21001743	21003414	1671	1671	0	0.0598444045481747	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_5	Chr1	3	4	0	0	129841	135853	7	11	7_11	130394	136420	6012	6026	-14	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_1	Chr1	2	3	542	2	17287683	17288753	11	13	11_15_15_13	16353890	16354956	1070	1066	4	0.186915887850467	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_2	Chr1	2	4	0	0	28760401	28815643	13	7	13_7	27719589	27774831	55242	55242	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_3	Chr1	1	2	4175.5	4	29313162	29318199	7	6	7_5_5_5_5_6	28288707	28293720	5037	5013	24	0.0794123486202104	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_4	Chr1	1	4	0	0	29525717	29526303	6	13	6_13	28494158	28494744	586	586	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_6	Chr2	2	3	0	0	937377	937870	4	6	4_6	857094	857587	493	493	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_7	Chr2	2	3	1478	2	16628536	16630487	6	4	6_8_8_4	15958614	15960552	1951	1938	13	0.102511532547412	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_11	Chr3	3	4	0	0	3718893	3723029	11	7	11_7	3760707	3764843	4136	4136	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_12	Chr3	1	2	516.5	2	6468618	6469596	7	6	7_5_5_6	6540717	6541695	978	978	0	0.204498977505113	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_10	Chr3	1	2	773.5	2	20585720	20587140	6	7	6_8_8_7	19791417	19792837	1420	1420	0	0.140845070422535	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_9	Chr3	3	4	731	1	21023931	21025393	7	11	7_15_11	20241646	20243109	1462	1463	-1	0.0683994528043776	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_8	Chr3	3	4	0	0	21453235	21465064	11	7	11_7	20663733	20675562	11829	11829	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_14	Chr4	2	3	0	0	7958424	7959119	11	13	11_13	7352695	7353390	695	695	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_13	Chr4	2	4	568	1	8874575	8875711	13	7	13_5_7	8308371	8309507	1136	1136	0	0.0880281690140845	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_18	Chr5	2	3	0	0	4225677	4226420	4	6	4_6	4268311	4269054	743	743	0	0	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_17	Chr5	1	4	124.5	2	18766448	18766686	6	13	6_14_14_13	18194012	18194250	238	238	0	0.840336134453782	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_16	Chr5	2	4	5302.5	17	23081094	23086819	13	7	13_15_15_15_15_15_15_15_15_15_15_15_15_15_15_15_15_15_7	22462403	22468105	5725	5702	23	0.296943231441048	FALSE
FiFa	FiFa_Tet15	FiFa_Tet15_CO_15	Chr5	1	2	2345	3	26630232	26634288	7	6	7_8_8_8_6	26022851	26026907	4056	4056	0	0.0739644970414201	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_12	Chr1	1	4	0	0	210319	266254	11	4	11_4	210893	266829	55935	55936	-1	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_6	Chr1	2	3	0	0	4289556	4290013	4	6	4_6	4324958	4325415	457	457	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_7	Chr1	2	3	0	0	8405137	8431089	6	4	6_4	8387955	8413908	25952	25953	-1	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_9	Chr1	1	4	0	0	9563954	9594727	4	11	4_11	9481657	9520555	30773	38898	-8125	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_8	Chr1	2	3	0	0	24446927	24447332	11	13	11_13	23385413	23385826	405	413	-8	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_1	Chr1	1	3	0	0	25474460	25487354	13	10	13_10	24403457	24416351	12894	12894	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_10	Chr1	3	4	0	0	28292136	28293205	10	6	10-12-10-10-10-10-10-10-10-10-10-10-6	27245884	27246955	1069	1071	-2	0	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_11	Chr1	3	4	493	4	30371778	30372455	6	10	6_2_2_2_2_10	29338468	29339145	677	677	0	0.590841949778434	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_13	Chr2	3	4	0	0	7423396	7424012	6	10	6_10	6764553	6765169	616	616	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_16	Chr2	1	3	509.5	4	15874918	15875858	10	13	10_9_9_9_9_13	15212125	15213065	940	940	0	0.425531914893617	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_14	Chr2	2	3	0	0	16777709	16779026	13	11	13-11-11-11-3-11	16110083	16111400	1317	1317	0	0	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_17	Chr2	3	4	0	0	17821308	17822618	11	7	11_7	17157595	17158911	1310	1316	-6	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_15	Chr2	1	3	0	0	18496600	18496891	7	4	7_4	17838236	17838527	291	291	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_28	Chr3	3	4	0	0	947345	949727	7	11	7_11	949602	951981	2382	2379	3	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_22	Chr3	1	2	0	0	1215878	1216571	11	10	11-10-10-12-10	1217701	1218394	693	693	0	0	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_18	Chr3	1	2	0	0	3115805	3130340	10	11	10_11	3127891	3177528	14535	49637	-35102	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_23	Chr3	2	3	0	0	4166405	4179220	11	13	11_13	4203237	4216052	12815	12815	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_25	Chr3	1	4	1514.5	1	4436691	4439720	13	6	13_5_6	4459820	4462848	3029	3028	1	0.0330141961043249	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_27	Chr3	1	2	0	0	6521894	6529843	6	7	6_7	6593083	6601029	7949	7946	3	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_20	Chr3	3	4	0	0	6970532	6986764	7	11	7_11	7041490	7057722	16232	16232	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_26	Chr3	1	4	670.5	1	8712338	8713679	11	4	11-12-4-4-4-4-4-4-4-4-4-12-4	8771761	8773099	1341	1338	3	0.0745712155108128	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_21	Chr3	2	3	0	0	11915332	11915941	4	6	4_6	12119149	12119758	609	609	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_19	Chr3	3	4	0	0	16564965	16565564	6	10	6_10	15707770	15708369	599	599	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_30	Chr3	1	3	0	0	21629053	21639679	10	13	10_13	20840650	20851276	10626	10626	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_29	Chr3	2	3	1732.5	1	22271248	22274713	13	11	13_9_11	21464805	21468270	3465	3465	0	0.0288600288600289	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_24	Chr3	2	3	520.5	3	23361275	23362140	11	13	11-9-9-9-13-13-15-15-15-15-15-15-15-15-15-15-15-15-13	22474965	22475829	865	864	1	0.346820809248555	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_33	Chr4	2	3	0	0	186930	187613	11	13	11-13-13-13-14-14-14-14-14-13	204099	204783	683	684	-1	0	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_38	Chr4	1	4	1206	1	764193	766605	13	6	13_5_6	797204	799542	2412	2338	74	0.0414593698175788	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_36	Chr4	1	2	0	0	6432688	6433427	6	7	6_7	5719875	5720614	739	739	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_39	Chr4	3	4	0	0	9298310	9298893	7	11	7_11	8727030	8727646	583	616	-33	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_37	Chr4	3	4	0	0	10447857	10449844	11	7	11_7	9880577	9882564	1987	1987	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_32	Chr4	2	4	0	0	11567209	11569548	7	13	7_13	10904715	10907053	2339	2338	1	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_31	Chr4	1	4	7627.5	5	12467099	12478757	13	6	13_14_10_10_10_10_2_6	11818834	11830491	11658	11657	1	0.0428890032595642	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_34	Chr4	2	3	0	0	13024332	13027579	6	4	6_4	12376557	12379803	3247	3246	1	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_35	Chr4	1	4	0	0	13183803	13185020	4	11	4_11	12536570	12537787	1217	1217	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_44	Chr5	1	3	646.5	1	339067	340360	7	4	7_8_4	328183	329476	1293	1293	0	0.0773395204949729	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_46	Chr5	2	4	0	0	1901626	1902310	4	10	4_10	1909052	1909738	684	686	-2	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_43	Chr5	1	3	895.5	1	4541777	4543568	10	13	10_14_13	4576224	4578015	1791	1791	0	0.0558347292015634	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_41	Chr5	1	4	0	0	6613468	6614686	13	6	13_6	6603425	6604643	1218	1218	0	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_40	Chr5	2	3	4147	20	16291895	16298177	6	4	6_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_4_4_12_12_4	15729211	15735485	6282	6274	8	0.318369945877109	TRUE
QFa	QFa_Tet16	QFa_Tet16_CO_42	Chr5	2	4	0	0	21788524	21796194	4	10	4_10	21149640	21157316	7670	7676	-6	0	FALSE
QFa	QFa_Tet16	QFa_Tet16_CO_45	Chr5	3	4	0	0	25551476	25556219	10	6	10_6	24940212	24944958	4743	4746	-3	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_5	Chr1	1	4	0	0	922673	971198	4	11	4_11	924737	973074	48525	48337	188	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_12	Chr1	3	4	0	0	2630806	2631084	11	7	11_7	2638265	2638543	278	278	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_14	Chr1	2	4	3647.5	2	3721989	3728128	7	13	7_15_15_13	3752994	3759139	6139	6145	-6	0.0325785958625183	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_13	Chr1	1	4	0	0	5830946	5832720	13	6	13- 6 -5-6	5852820	5854596	1774	1776	-2	0	TRUE
QFi	QFi_Tet17	QFi_Tet17_CO_15	Chr1	1	2	0	0	5938876	5939422	6	7	6_7	5961059	5961605	546	546	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_11	Chr1	1	2	0	0	6179475	6179563	7	6	7_6	6198927	6199015	88	88	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_9	Chr1	3	4	0	0	8109663	8111075	6	10	6_10	8104368	8105780	1412	1412	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_7	Chr1	1	3	0	0	8757917	8863024	10	13	10_13	8755999	8795423	105107	39424	65683	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_10	Chr1	1	3	0	0	18669165	18671030	13	10	13_10	17702597	17704462	1865	1865	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_2	Chr1	2	4	4293.5	1	20937758	20938275	10	12	10_12	19911483	19912000	517	517	0	0.193423597678917	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_3	Chr1	2	4	8221	1	25470912	25474460	4	12	4_12	24399909	24403457	3548	3548	0	0.028184892897407	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_8	Chr1	1	3	0	0	26940011	26943012	10	13	10_13	25872577	25875577	3001	3000	1	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_1	Chr1	1	4	899	2	27089661	27091359	13	6	13_5_5_6	26022356	26024054	1698	1698	0	0.117785630153121	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_4	Chr1	3	4	824	1	29638218	29639866	6	10	6_14_10	28606274	28607922	1648	1648	0	0.0606796116504854	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_6	Chr1	1	2	0	0	30139434	30140048	10	11	10_11	29105237	29105851	614	614	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_21	Chr2	2	3	0	0	170124	170352	6	4	6-4-4-4-8-4	119576	119804	228	228	0	0	TRUE
QFi	QFi_Tet17	QFi_Tet17_CO_20	Chr2	1	3	0	0	13062003	13062996	4	7	4-8-4-4-4-4-7	12379792	12380785	993	993	0	0	TRUE
QFi	QFi_Tet17	QFi_Tet17_CO_18	Chr2	2	4	1043.5	1	15150062	15152149	7	13	7_15_13	14481654	14483742	2087	2088	-1	0.0479156684235745	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_17	Chr2	2	3	0	0	17159783	17163429	13	11	13_11	16489406	16493060	3646	3654	-8	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_19	Chr2	3	4	0	0	17320860	17342568	11	7	11_7	16650625	16672334	21708	21709	-1	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_16	Chr2	1	3	918	2	18307726	18309470	7	4	7_8_8_4	17648618	17650305	1744	1687	57	0.114678899082569	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_29	Chr3	2	3	3322.5	5	371623	376020	4	6	4_8_8_8_8_8_6	370833	375226	4397	4393	4	0.113713895838071	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_30	Chr3	1	4	0	0	3454911	3456387	6	13	6_13	3502964	3504440	1476	1476	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_26	Chr3	1	4	0	0	3944442	3947449	13	6	13_6	3980957	3983964	3007	3007	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_28	Chr3	2	3	125	4	10179852	10180072	6	4	6_8_8_8_8_4	10244298	10244518	220	220	0	1.81818181818182	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_23	Chr3	2	3	1289	2	20586297	20588302	4	6	4_2_2_6	19791994	19793997	2005	2003	2	0.0997506234413965	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_27	Chr3	3	4	1846	1	20838078	20841770	6	10	6_14_10	20052163	20055856	3692	3693	-1	0.0270855904658722	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_25	Chr3	1	3	1242	2	22130509	22132902	10	13	10_9_9_13	21331286	21333678	2393	2392	1	0.0835770998746344	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_22	Chr3	1	4	0	0	22932537	22933634	13	6	13- 6 -6-6-5-6	22044541	22045638	1097	1097	0	0	TRUE
QFi	QFi_Tet17	QFi_Tet17_CO_24	Chr3	3	4	0	0	23350233	23351530	6	10	6_10	22463316	22464616	1297	1300	-3	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_31	Chr4	2	3	332	1	7321356	7322020	13	11	13_15_11	6668414	6669078	664	664	0	0.150602409638554	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_37	Chr4	1	4	0	0	8469376	8469784	11	4	11-15-11-11-11-11-11-11-11-11-4	7859289	7859707	408	418	-10	0	TRUE
QFi	QFi_Tet17	QFi_Tet17_CO_36	Chr4	2	3	1336.5	3	13240343	13242323	4	6	4_2_2_2_6	12593017	12594996	1980	1979	1	0.151515151515152	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_32	Chr4	3	4	0	0	13910871	13912804	6	10	6_10	13251106	13253043	1933	1937	-4	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_33	Chr4	1	3	1473	1	14198175	14201121	10	13	10_14_13	13536394	13539315	2946	2921	25	0.0339443312966735	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_44	Chr5	2	3	0	0	2838442	2838798	11	13	11_13	2857685	2858022	356	337	19	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_41	Chr5	2	3	0	0	5180319	5181201	13	11	13_11	5200526	5201408	882	882	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_48	Chr5	1	4	830	13	9552407	9553586	11	4	11_12_12_12_12_12_12_12_12_12_12_12_12_12_12_12_12_12_4	9560335	9561492	1179	1157	22	1.10262934690416	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_40	Chr5	1	4	0	0	20534566	20536191	4	11	4_11	19934631	19936254	1625	1623	2	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_42	Chr5	1	2	0	0	21527231	21528319	11	10	11-12-12-15-15-15-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-10	20892598	20893687	1088	1089	-1	0	TRUE
QFi	QFi_Tet17	QFi_Tet17_CO_43	Chr5	3	4	0	0	22389583	22390012	10	6	10_6	21773271	21773700	429	429	0	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_45	Chr5	2	3	3872	1	22724170	22731914	6	4	6_8_4	22103094	22110838	7744	7744	0	0.0129132231404959	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_46	Chr5	1	4	0	0	23165567	23214138	4	11	4_11	22546846	22595409	48571	48563	8	0	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_49	Chr5	1	4	1817.5	1	24327971	24331606	11	4	11_12_4	23708000	23713934	3635	5934	-2299	0.0275103163686382	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_50	Chr5	1	4	252.5	1	24439883	24440388	4	11	4_3_11	23822126	23822631	505	505	0	0.198019801980198	FALSE
QFi	QFi_Tet17	QFi_Tet17_CO_47	Chr5	3	4	0	0	25805846	25806474	11	7	11_7	25200341	25200970	628	629	-1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_8	Chr1	3	4	0	0	294969	301465	11	7	11_7	295424	301921	6496	6497	-1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_22	Chr1	2	4	0	0	727955	728904	7	13	7_13	728904	729853	949	949	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_13	Chr1	2	4	822	1	1545929	1547573	13	7	13_15_7	1542157	1543803	1644	1646	-2	0.0608272506082725	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_16	Chr1	3	4	0	0	2863823	2867023	7	11	7_11	2859619	2862820	3200	3201	-1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_2	Chr1	2	3	5248	7	3592074	3600937	11	13	11_9_9_9_9_9_9_9_13	3615038	3623902	8863	8864	-1	0.0789800293354395	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_19	Chr1	1	3	0	0	3938146	4027386	13	10	13_10	3972692	4063333	89240	90641	-1401	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_9	Chr1	1	2	0	0	4915063	4917348	10	11	10_11	4948013	4950296	2285	2283	2	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_20	Chr1	1	4	0	0	6365704	6372434	11	4	11_4	6382752	6389482	6730	6730	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_15	Chr1	2	4	0	0	9198319	9199132	4	10	4_10	9121207	9122019	813	812	1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_14	Chr1	1	3	0	0	9254129	9257334	10	13	10_13	9180106	9182896	3205	2790	415	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_18	Chr1	1	4	456	1	9649986	9650898	13	6	13_14_6	9574254	9575166	912	912	0	0.109649122807018	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_5	Chr1	3	4	0	0	11181306	11183383	6	10	6_10	11122164	11124241	2077	2077	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_10	Chr1	3	4	1935.5	9	13140606	13142745	10	6	10_9_2_2_2_2_2_5_5_5_6	13105292	13107430	2139	2138	1	0.420757363253857	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_1	Chr1	2	3	0	0	17812166	17818396	6	4	6_4	16842320	16848547	6230	6227	3	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_4	Chr1	1	4	866.5	9	20022897	20024197	4	11	4_12_12_12_12_12_12_12_12_12_11	19012826	19014120	1300	1294	6	0.692307692307692	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_3	Chr1	3	4	0	0	20393054	20394981	11	7	11_7	19360935	19362862	1927	1927	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_17	Chr1	1	2	0	0	23780343	23782650	7	6	7_6	22721282	22723589	2307	2307	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_21	Chr1	1	2	0	0	26743490	26745250	6	7	6-5-6-7	25676315	25678075	1760	1760	0	0	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_25	Chr2	3	4	884	3	2457123	2458679	10	6	10_14_14_14_6	2460729	2462284	1556	1555	1	0.19280205655527	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_24	Chr2	2	3	0	0	15375074	15375576	6	4	6_4	14707165	14707660	502	495	7	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_27	Chr2	2	4	0	0	15748698	15759188	4	10	4_10	15079300	15089773	10490	10473	17	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_28	Chr2	1	2	0	0	17200171	17201233	10	11	10_11	16529815	16530877	1062	1062	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_23	Chr2	1	2	0	0	17758955	17765153	11	10	11_10	17092017	17098215	6198	6198	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_26	Chr2	1	2	0	0	19291478	19291683	10	11	10_11	18629428	18629633	205	205	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_39	Chr3	1	3	1165.5	2	183543	185871	7	4	7_8_8_4	182036	184366	2328	2330	-2	0.0859106529209622	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_36	Chr3	1	4	1403.5	1	2573871	2576678	4	11	4-10-11-11-9-11	2593885	2596690	2807	2805	2	0.0356252226576416	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_31	Chr3	2	3	0	0	2894456	2897362	11	13	11_13	2903791	2906697	2906	2906	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_40	Chr3	2	3	0	0	3543774	3544346	13	11	13_11	3590314	3590886	572	572	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_35	Chr3	1	4	0	0	4439720	4442171	11	4	11_4	4462848	4465298	2451	2450	1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_29	Chr3	1	3	0	0	5079992	5124565	4	7	4_7	5128572	5173142	44573	44570	3	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_34	Chr3	1	2	3314	0	5568989	5574254	7	6	7_3_3_3_2_6	5616023	5621929	5265	5906	-641	0	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_38	Chr3	2	3	620.5	1	6399886	6401127	6	4	6_8_4	6472140	6473381	1241	1241	0	0.08058017727639	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_33	Chr3	1	4	0	0	8727467	8729144	4	11	4_11	8786887	8788565	1677	1678	-1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_37	Chr3	3	4	569.5	3	18207691	18208608	11	7	11_3_3_3_7	17378208	17379124	917	916	1	0.327153762268266	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_32	Chr3	1	3	0	0	21468762	21492444	7	4	7_4	20679260	20704099	23682	24839	-1157	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_30	Chr3	2	3	0	0	22205540	22208091	4	6	4_6	21407756	21410306	2551	2550	1	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_42	Chr4	2	3	1022.5	3	400577	402127	4	6	4_3_2_2_2_6	417457	419006	1550	1549	1	0.193548387096774	TRUE
QFi	QFi_Tet18	QFi_Tet18_CO_43	Chr4	3	4	0	0	11341292	11343013	6	10	6_10	10683193	10684914	1721	1721	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_44	Chr4	1	3	0	0	13248817	13249121	10	13	10_13	12601493	12601797	304	304	0	0	FALSE
QFi	QFi_Tet18	QFi_Tet18_CO_45	Chr4	1	4	0	0	14011113	14012843	13	6	13_6	13351218	13352948	1730	1730	0	0	FALSE
