Chr	FungPos	CO.Type	Chromatid1	Chromatid2	GC.tracLength	GC.nbSNP	is.gc	Tetrad	CO.Event	Tetrad.CO.Event	SNP.F1	SNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	SNP.1	SNP.2	D1	D2	medianD	minTL	maxTL	Conv.ColLer	Conv.LerCol	Genotype
Chr3	3123072.5	0	1	2	0	0	FALSE	QFa_Tet16	18	QFa_Tet16_CO_18	3115805	3130340	10	11	10_11	3115805	3130340	0	0	0	0	0	0	0	QFa
Chr3	16565264.5	0	3	4	0	0	FALSE	QFa_Tet16	19	QFa_Tet16_CO_19	16564965	16565564	6	10	6_10	16564965	16565564	0	0	0	0	0	0	0	QFa
Chr3	6978648	0	3	4	0	0	FALSE	QFa_Tet16	20	QFa_Tet16_CO_20	6970532	6986764	7	11	7_11	6970532	6986764	0	0	0	0	0	0	0	QFa
Chr3	11915636.5	0	2	3	0	0	FALSE	QFa_Tet16	21	QFa_Tet16_CO_21	11915332	11915941	4	6	4_6	11915332	11915941	0	0	0	0	0	0	0	QFa
Chr3	1216224.5	1	1	2	NA	3	FALSE	QFa_Tet16	22	QFa_Tet16_CO_22	1215878	1217877	11	10	11_10_10_12_10	1216571	1217839	693	38	0	0	0	0	1	QFa
Chr3	4172812.5	0	2	3	0	0	FALSE	QFa_Tet16	23	QFa_Tet16_CO_23	4166405	4179220	11	13	11_13	4166405	4179220	0	0	0	0	0	0	0	QFa
Chr3	23361794.25	1	2	3	NA	17	TRUE	QFa_Tet16	24	QFa_Tet16_CO_24	23361275	23365923	11	13	11_9_9_9_13_13_15_15_15_15_15_15_15_15_15_15_15_15_13	23361793	23365405	518	518	4130	3613	4648	3	12	QFa
Chr3	4437670.25	1	1	4	1514.5	1	TRUE	QFa_Tet16	25	QFa_Tet16_CO_25	4436691	4439720	13	6	13_5_6	4437135	4437135	444	2585	1514.5	1	3029	1	0	QFa
Chr3	8712849.75	1	1	4	NA	11	TRUE	QFa_Tet16	26	QFa_Tet16_CO_26	8712338	8716036	11	4	11_12_4_4_4_4_4_4_4_4_4_12_4	8712691	8715825	353	211	3416	3135	3698	0	2	QFa
Chr3	6525868.5	0	1	2	0	0	FALSE	QFa_Tet16	27	QFa_Tet16_CO_27	6521894	6529843	6	7	6_7	6521894	6529843	0	0	0	0	0	0	0	QFa
Chr3	948536	0	3	4	0	0	FALSE	QFa_Tet16	28	QFa_Tet16_CO_28	947345	949727	7	11	7_11	947345	949727	0	0	0	0	0	0	0	QFa
Chr3	22272543.25	1	2	3	1732.5	1	TRUE	QFa_Tet16	29	QFa_Tet16_CO_29	22271248	22274713	13	11	13_9_11	22272106	22272106	858	2607	1732.5	1	3465	1	0	QFa
Chr3	21634366	0	1	3	0	0	FALSE	QFa_Tet16	30	QFa_Tet16_CO_30	21629053	21639679	10	13	10_13	21629053	21639679	0	0	0	0	0	0	0	QFa
Chr4	12471932.25	8	1	4	NA	6	TRUE	QFa_Tet16	31	QFa_Tet16_CO_31	12467099	12478757	13	6	13_14_10_10_10_10_2_6	12469138	12477219	2039	1538	9869.5	8082	11658	1	1	QFa
Chr4	11568378.5	0	2	4	0	0	FALSE	QFa_Tet16	32	QFa_Tet16_CO_32	11567209	11569548	7	13	7_13	11567209	11569548	0	0	0	0	0	0	0	QFa
Chr4	187271.5	1	2	3	NA	7	FALSE	QFa_Tet16	33	QFa_Tet16_CO_33	186930	188068	11	13	11_13_13_13_14_14_14_14_13	187613	188022	683	46	0	0	0	0	4	QFa
Chr4	13025955.5	0	2	3	0	0	FALSE	QFa_Tet16	34	QFa_Tet16_CO_34	13024332	13027579	6	4	6_4	13024332	13027579	0	0	0	0	0	0	0	QFa
Chr4	13184411.5	0	1	4	0	0	FALSE	QFa_Tet16	35	QFa_Tet16_CO_35	13183803	13185020	4	11	4_11	13183803	13185020	0	0	0	0	0	0	0	QFa
Chr4	6433057.5	0	1	2	0	0	FALSE	QFa_Tet16	36	QFa_Tet16_CO_36	6432688	6433427	6	7	6_7	6432688	6433427	0	0	0	0	0	0	0	QFa
Chr4	10448850.5	0	3	4	0	0	FALSE	QFa_Tet16	37	QFa_Tet16_CO_37	10447857	10449844	11	7	11_7	10447857	10449844	0	0	0	0	0	0	0	QFa
Chr4	764940	1	1	4	1206	1	TRUE	QFa_Tet16	38	QFa_Tet16_CO_38	764193	766605	13	6	13_5_6	764481	764481	288	2124	1206	1	2412	1	0	QFa
Chr4	9298601.5	0	3	4	0	0	FALSE	QFa_Tet16	39	QFa_Tet16_CO_39	9298310	9298893	7	11	7_11	9298310	9298893	0	0	0	0	0	0	0	QFa
Chr5	16294374.5	1	2	3	NA	24	TRUE	QFa_Tet16	40	QFa_Tet16_CO_40	16291895	16298177	6	4	6_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_8_4_4_12_12_4	16292707	16297517	812	660	5546	4811	6282	0	22	QFa
Chr5	6614077	0	1	4	0	0	FALSE	QFa_Tet16	41	QFa_Tet16_CO_41	6613468	6614686	13	6	13_6	6613468	6614686	0	0	0	0	0	0	0	QFa
Chr5	21792359	0	2	4	0	0	FALSE	QFa_Tet16	42	QFa_Tet16_CO_42	21788524	21796194	4	10	4_10	21788524	21796194	0	0	0	0	0	0	0	QFa
Chr5	4542718.25	1	1	3	895.5	1	TRUE	QFa_Tet16	43	QFa_Tet16_CO_43	4541777	4543568	10	13	10_14_13	4542764	4542764	987	804	895.5	1	1791	0	1	QFa
Chr5	339717.25	1	1	3	646.5	1	TRUE	QFa_Tet16	44	QFa_Tet16_CO_44	339067	340360	7	4	7_8_4	339721	339721	654	639	646.5	1	1293	0	1	QFa
Chr5	25553847.5	0	3	4	0	0	FALSE	QFa_Tet16	45	QFa_Tet16_CO_45	25551476	25556219	10	6	10_6	25551476	25556219	0	0	0	0	0	0	0	QFa
Chr5	1901968	0	2	4	0	0	FALSE	QFa_Tet16	46	QFa_Tet16_CO_46	1901626	1902310	4	10	4_10	1901626	1902310	0	0	0	0	0	0	0	QFa
Chr1	27090321	1	1	4	899	2	TRUE	QFi_Tet17	1	QFi_Tet17_CO_1	27089661	27091359	13	6	13_5_5_6	27090082	27090182	421	1177	899	101	1698	2	0	QFi
Chr1	20940163.25	1	2	4	4293.5	1	TRUE	QFi_Tet17	2	QFi_Tet17_CO_2	20937758	20946345	10	4	10_12_4	20938275	20938275	517	8070	4293.5	1	8587	0	1	QFi
Chr1	25476796.5	1	2	4	8221	1	TRUE	QFi_Tet17	3	QFi_Tet17_CO_3	25470912	25487354	4	10	4_12_10	25474460	25474460	3548	12894	8221	1	16442	0	1	QFi
Chr1	29639117.5	1	3	4	824	1	TRUE	QFi_Tet17	4	QFi_Tet17_CO_4	29638218	29639866	6	10	6_14_10	29639193	29639193	975	673	824	1	1648	0	1	QFi
Chr1	954696	0	1	4	0	0	FALSE	QFi_Tet17	5	QFi_Tet17_CO_5	922673	971198	4	11	4_11	922673	971198	0	0	0	0	0	0	0	QFi
Chr1	30139741	0	1	2	0	0	FALSE	QFi_Tet17	6	QFi_Tet17_CO_6	30139434	30140048	10	11	10_11	30139434	30140048	0	0	0	0	0	0	0	QFi
Chr1	8810470.5	0	1	3	0	0	FALSE	QFi_Tet17	7	QFi_Tet17_CO_7	8757917	8863024	10	13	10_13	8757917	8863024	0	0	0	0	0	0	0	QFi
Chr1	26941511.5	0	1	3	0	0	FALSE	QFi_Tet17	8	QFi_Tet17_CO_8	26940011	26943012	10	13	10_13	26940011	26943012	0	0	0	0	0	0	0	QFi
Chr1	8110369	0	3	4	0	0	FALSE	QFi_Tet17	9	QFi_Tet17_CO_9	8109663	8111075	6	10	6_10	8109663	8111075	0	0	0	0	0	0	0	QFi
Chr1	18670097.5	0	1	3	0	0	FALSE	QFi_Tet17	10	QFi_Tet17_CO_10	18669165	18671030	13	10	13_10	18669165	18671030	0	0	0	0	0	0	0	QFi
Chr1	6179471	0	1	2	0	0	FALSE	QFi_Tet17	11	QFi_Tet17_CO_11	6179475	6179563	7	6	7_6	6179475	6179563	0	0	0	0	0	0	0	QFi
Chr1	2630580	0	3	4	0	0	FALSE	QFi_Tet17	12	QFi_Tet17_CO_12	2630806	2631084	11	7	11_7	2630806	2631084	0	0	0	0	0	0	0	QFi
Chr1	5831833	1	1	4	NA	2	TRUE	QFi_Tet17	13	QFi_Tet17_CO_13	5830946	5834047	13	6	13_6_5_6	5832720	5833087	1774	960	1734	368	3101	1	0	QFi
Chr1	3726129.75	1	2	4	3647.5	2	TRUE	QFi_Tet17	14	QFi_Tet17_CO_14	3721989	3728128	7	13	7_15_15_13	3726623	3727779	4634	349	3647.5	1157	6139	0	2	QFi
Chr1	5939149	0	1	2	0	0	FALSE	QFi_Tet17	15	QFi_Tet17_CO_15	5938876	5939422	6	7	6_7	5938876	5939422	0	0	0	0	0	0	0	QFi
Chr2	18308700	1	1	3	918	2	TRUE	QFi_Tet17	16	QFi_Tet17_CO_16	18307726	18309470	7	4	7_8_8_4	18308756	18308848	1030	622	918	93	1744	0	2	QFi
Chr2	17161606	0	2	3	0	0	FALSE	QFi_Tet17	17	QFi_Tet17_CO_17	17159783	17163429	13	11	13_11	17159783	17163429	0	0	0	0	0	0	0	QFi
Chr2	15150620.25	1	2	4	1043.5	1	TRUE	QFi_Tet17	18	QFi_Tet17_CO_18	15150062	15152149	7	13	7_15_13	15150135	15150135	73	2014	1043.5	1	2087	0	1	QFi
Chr2	17331714	0	3	4	0	0	FALSE	QFi_Tet17	19	QFi_Tet17_CO_19	17320860	17342568	11	7	11_7	17320860	17342568	0	0	0	0	0	0	0	QFi
Chr2	13062499.5	1	1	3	NA	5	TRUE	QFi_Tet17	20	QFi_Tet17_CO_20	13059271	13062996	4	7	4_8_4_4_4_4_7	13060048	13062003	777	993	2840	1956	3725	0	1	QFi
Chr2	170238	1	2	3	NA	4	TRUE	QFi_Tet17	21	QFi_Tet17_CO_21	170124	171208	6	4	6_4_4_4_8_4	170352	170848	228	360	790	497	1084	0	1	QFi
Chr3	22933085.5	1	1	4	NA	4	TRUE	QFi_Tet17	22	QFi_Tet17_CO_22	22932537	22934942	13	6	13_6_6_6_5_6	22933634	22934634	1097	308	1702.5	1001	2405	1	0	QFi
Chr3	20587363	1	2	3	1289	2	TRUE	QFi_Tet17	23	QFi_Tet17_CO_23	20586297	20588302	4	6	4_2_2_6	20587140	20587713	843	589	1289	574	2005	2	0	QFi
Chr3	23350881.5	0	3	4	0	0	FALSE	QFi_Tet17	24	QFi_Tet17_CO_24	23350233	23351530	6	10	6_10	23350233	23351530	0	0	0	0	0	0	0	QFi
Chr3	22131414.5	1	1	3	1242	2	TRUE	QFi_Tet17	25	QFi_Tet17_CO_25	22130509	22132902	10	13	10_9_9_13	22131078	22131169	569	1733	1242	92	2393	2	0	QFi
Chr3	3945945.5	0	1	4	0	0	FALSE	QFi_Tet17	26	QFi_Tet17_CO_26	3944442	3947449	13	6	13_6	3944442	3947449	0	0	0	0	0	0	0	QFi
Chr3	20840425	1	3	4	1846	1	TRUE	QFi_Tet17	27	QFi_Tet17_CO_27	20838078	20841770	6	10	6_14_10	20840926	20840926	2848	844	1846	1	3692	0	1	QFi
Chr3	10179998.5	1	2	3	125	4	TRUE	QFi_Tet17	28	QFi_Tet17_CO_28	10179852	10180072	6	4	6_8_8_8_8_4	10180020	10180050	168	22	125	31	220	0	4	QFi
Chr3	373539.25	1	2	3	3322.5	5	TRUE	QFi_Tet17	29	QFi_Tet17_CO_29	371623	376020	4	6	4_8_8_8_8_8_6	372133	374381	510	1639	3322.5	2249	4397	0	5	QFi
Chr3	3455649	0	1	4	0	0	FALSE	QFi_Tet17	30	QFi_Tet17_CO_30	3454911	3456387	6	13	6_13	3454911	3456387	0	0	0	0	0	0	0	QFi
Chr4	7321632.5	3	2	3	332	1	TRUE	QFi_Tet17	31	QFi_Tet17_CO_31	7321356	7322020	13	11	13_15_11	7321577	7321577	221	443	332	1	664	0	1	QFi
Chr4	13911837.5	0	3	4	0	0	FALSE	QFi_Tet17	32	QFi_Tet17_CO_32	13910871	13912804	6	10	6_10	13910871	13912804	0	0	0	0	0	0	0	QFi
Chr4	14199734	1	1	3	1473	1	TRUE	QFi_Tet17	33	QFi_Tet17_CO_33	14198175	14201121	10	13	10_14_13	14199820	14199820	1645	1301	1473	1	2946	0	1	QFi
Chr4	13241170.75	1	2	3	1336.5	3	TRUE	QFi_Tet17	36	QFi_Tet17_CO_36	13240343	13242323	4	6	4_2_2_2_6	13240662	13241355	319	968	1336.5	694	1980	3	0	QFi
Chr4	8469580	1	1	4	NA	9	TRUE	QFi_Tet17	37	QFi_Tet17_CO_37	8466225	8469784	11	4	11_15_11_11_11_11_11_11_11_11_4	8466408	8469376	183	408	3263.5	2969	3559	0	1	QFi
Chr5	20535513	0	1	4	0	0	FALSE	QFi_Tet17	40	QFi_Tet17_CO_40	20534566	20536191	4	11	4_11	20534566	20536191	0	0	0	0	0	0	0	QFi
Chr5	5180760	0	2	3	0	0	FALSE	QFi_Tet17	41	QFi_Tet17_CO_41	5180319	5181201	13	11	13_11	5180319	5181201	0	0	0	0	0	0	0	QFi
Chr5	21527775	1	1	2	NA	27	TRUE	QFi_Tet17	42	QFi_Tet17_CO_42	21522840	21528319	11	10	11_12_12_15_15_15_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_10	21523498	21527231	658	1088	4606	3734	5479	0	5	QFi
Chr5	22389797.5	0	3	4	0	0	FALSE	QFi_Tet17	43	QFi_Tet17_CO_43	22389583	22390012	10	6	10_6	22389583	22390012	0	0	0	0	0	0	0	QFi
Chr5	2838620	0	2	3	0	0	FALSE	QFi_Tet17	44	QFi_Tet17_CO_44	2838442	2838798	11	13	11_13	2838442	2838798	0	0	0	0	0	0	0	QFi
Chr5	22728073	1	2	3	3872	1	TRUE	QFi_Tet17	45	QFi_Tet17_CO_45	22724170	22731914	6	4	6_8_4	22728104	22728104	3934	3810	3872	1	7744	0	1	QFi
Chr5	23189852.5	0	1	4	0	0	FALSE	QFi_Tet17	46	QFi_Tet17_CO_46	23165567	23214138	4	11	4_11	23165567	23214138	0	0	0	0	0	0	0	QFi
Chr5	25806160	0	3	4	0	0	FALSE	QFi_Tet17	47	QFi_Tet17_CO_47	25805846	25806474	11	7	11_7	25805846	25806474	0	0	0	0	0	0	0	QFi
Chr5	9552941.5	3	1	4	NA	17	TRUE	QFi_Tet17	48	QFi_Tet17_CO_48	9552407	9553586	11	4	11_12_12_12_12_12_12_12_12_12_12_12_12_12_12_12_12_12_4	9552638	9553127	231	459	834	490	1179	0	17	QFi
Chr5	24330034.25	1	1	4	1817.5	1	TRUE	QFi_Tet17	49	QFi_Tet17_CO_49	24327971	24331606	11	4	11_12_4	24330280	24330280	2309	1326	1817.5	1	3635	0	1	QFi
Chr5	24440086.25	1	1	4	252.5	1	TRUE	QFi_Tet17	50	QFi_Tet17_CO_50	24439883	24440388	4	11	4_3_11	24440037	24440037	154	351	252.5	1	505	1	0	QFi
Chr1	8981127.5	0	1	4	0	0	FALSE	QFiFa_Tet19	1	QFiFa_Tet19_CO_1	8977128	8985127	4	11	4_11	8977128	8985127	0	0	0	0	0	0	0	QFiFa
Chr1	8006133.25	1	1	4	NA	6	TRUE	QFiFa_Tet19	2	QFiFa_Tet19_CO_2	8004992	8008512	11	4	11_12_12_12_12_4_12_4	8005824	8008269	832	243	2982.5	2446	3520	0	5	QFiFa
Chr1	2236169.5	0	3	4	0	0	FALSE	QFiFa_Tet19	3	QFiFa_Tet19_CO_3	2235546	2236793	6	10	6_10	2235546	2236793	0	0	0	0	0	0	0	QFiFa
Chr1	3911684.25	1	1	4	3624.5	5	TRUE	QFiFa_Tet19	4	QFiFa_Tet19_CO_4	3909328	3914705	11	4	11_3_3_3_3_3_4	3910416	3912288	1088	2417	3624.5	1873	5377	5	0	QFiFa
Chr1	5325000	0	1	4	0	0	FALSE	QFiFa_Tet19	5	QFiFa_Tet19_CO_5	5324844	5325156	4	11	4_11	5324844	5325156	0	0	0	0	0	0	0	QFiFa
Chr1	20605335.5	1	1	4	1833	1	TRUE	QFiFa_Tet19	6	QFiFa_Tet19_CO_6	20602978	20606644	11	4	11_3_4	20605860	20605860	2882	784	1833	1	3666	1	0	QFiFa
Chr1	1479322.5	0	1	2	0	0	FALSE	QFiFa_Tet19	7	QFiFa_Tet19_CO_7	1479099	1479546	7	6	7_6	1479099	1479546	0	0	0	0	0	0	0	QFiFa
Chr1	2854624.5	0	1	2	0	0	FALSE	QFiFa_Tet19	8	QFiFa_Tet19_CO_8	2852039	2857210	10	11	10_11	2852039	2857210	0	0	0	0	0	0	0	QFiFa
Chr1	238286.5	0	3	4	0	0	FALSE	QFiFa_Tet19	9	QFiFa_Tet19_CO_9	210319	266254	11	7	11_7	210319	266254	0	0	0	0	0	0	0	QFiFa
Chr2	15735368	0	2	3	0	0	FALSE	QFiFa_Tet19	10	QFiFa_Tet19_CO_10	15732038	15738698	11	13	11_13	15732038	15738698	0	0	0	0	0	0	0	QFiFa
Chr2	19011570	0	1	3	0	0	FALSE	QFiFa_Tet19	11	QFiFa_Tet19_CO_11	19010975	19012165	10	13	10_13	19010975	19012165	0	0	0	0	0	0	0	QFiFa
Chr2	17494447.75	1	2	3	3725.5	6	TRUE	QFiFa_Tet19	12	QFiFa_Tet19_CO_12	17490902	17497065	6	4	6_2_2_2_2_2_2_4	17494268	17495556	3366	1509	3725.5	1289	6163	6	0	QFiFa
Chr2	17666172.5	0	2	4	0	0	FALSE	QFiFa_Tet19	13	QFiFa_Tet19_CO_13	17665296	17667049	4	10	4_10	17665296	17667049	0	0	0	0	0	0	0	QFiFa
Chr2	16564066	0	1	4	0	0	FALSE	QFiFa_Tet19	14	QFiFa_Tet19_CO_14	16563336	16564796	13	6	13_6	16563336	16564796	0	0	0	0	0	0	0	QFiFa
Chr2	17877215.5	0	3	4	0	0	FALSE	QFiFa_Tet19	15	QFiFa_Tet19_CO_15	17876819	17877612	10	6	10_6	17876819	17877612	0	0	0	0	0	0	0	QFiFa
Chr2	223576.5	8	2	3	NA	4	TRUE	QFiFa_Tet19	16	QFiFa_Tet19_CO_16	221764	224871	13	11	13_14_10_10_10_11	222306	224080	542	791	2440.5	1775	3107	0	1	QFiFa
Chr2	18243742.5	0	3	4	0	0	FALSE	QFiFa_Tet19	17	QFiFa_Tet19_CO_17	18228405	18259080	6	10	6_10	18228405	18259080	0	0	0	0	0	0	0	QFiFa
Chr3	1033430.5	1	2	4	2145	4	TRUE	QFiFa_Tet19	18	QFiFa_Tet19_CO_18	1032180	1036006	4	10	4_12_12_12_12_10	1032536	1033000	356	3006	2145	465	3826	0	4	QFiFa
Chr3	40729	0	2	4	0	0	FALSE	QFiFa_Tet19	19	QFiFa_Tet19_CO_19	40165	41293	10	4	10_4	40165	41293	0	0	0	0	0	0	0	QFiFa
Chr3	18822131.5	0	2	4	0	0	FALSE	QFiFa_Tet19	20	QFiFa_Tet19_CO_20	18821782	18822481	13	7	13_7	18821782	18822481	0	0	0	0	0	0	0	QFiFa
Chr3	17975253.5	0	3	4	0	0	FALSE	QFiFa_Tet19	21	QFiFa_Tet19_CO_21	17974116	17976391	11	7	11_7	17974116	17976391	0	0	0	0	0	0	0	QFiFa
Chr3	18615075.5	0	2	4	0	0	FALSE	QFiFa_Tet19	22	QFiFa_Tet19_CO_22	18611787	18618364	7	13	7_13	18611787	18618364	0	0	0	0	0	0	0	QFiFa
Chr3	1521778.5	1	3	4	4533	5	TRUE	QFiFa_Tet19	23	QFiFa_Tet19_CO_23	1517229	1525377	10	6	10_14_14_14_14_14_6	1521795	1522713	4566	2664	4533	919	8148	0	5	QFiFa
Chr3	19282343	0	1	3	0	0	FALSE	QFiFa_Tet19	24	QFiFa_Tet19_CO_24	19280300	19284386	7	4	7_4	19280300	19284386	0	0	0	0	0	0	0	QFiFa
Chr3	2363279.5	1	2	3	NA	3	TRUE	QFiFa_Tet19	25	QFiFa_Tet19_CO_25	2362654	2364601	6	4	6_4_8_9_4	2363905	2364347	1251	254	1194.5	443	1947	1	1	QFiFa
Chr3	2828991.5	0	1	3	0	0	FALSE	QFiFa_Tet19	26	QFiFa_Tet19_CO_26	2827714	2830269	4	7	4_7	2827714	2830269	0	0	0	0	0	0	0	QFiFa
Chr3	7863595.75	1	3	4	3318.5	4	TRUE	QFiFa_Tet19	27	QFiFa_Tet19_CO_27	7859674	7866053	7	11	7_3_3_3_3_11	7864199	7864457	4525	1596	3318.5	259	6379	4	0	QFiFa
Chr3	7191163.25	1	3	4	1751.5	4	TRUE	QFiFa_Tet19	28	QFiFa_Tet19_CO_28	7190246	7192317	11	7	11_3_3_3_3_7	7190329	7191761	83	556	1751.5	1433	2071	4	0	QFiFa
Chr3	4343169	2	3	4	3629	13	TRUE	QFiFa_Tet19	29	QFiFa_Tet19_CO_29	4341793	4346182	7	11	7_8_8_8_12_12_12_12_12_12_12_12_12_12_11	4341793	4346182	0	0	4389	4390	4389	0	13	QFiFa
Chr4	14762553	0	1	3	0	0	FALSE	QFiFa_Tet19	30	QFiFa_Tet19_CO_30	14761557	14763549	13	10	13_10	14761557	14763549	0	0	0	0	0	0	0	QFiFa
Chr4	13997524	0	1	3	0	0	FALSE	QFiFa_Tet19	31	QFiFa_Tet19_CO_31	13996577	13998471	10	13	10_13	13996577	13998471	0	0	0	0	0	0	0	QFiFa
Chr4	8194831	1	3	4	NA	9	TRUE	QFiFa_Tet19	32	QFiFa_Tet19_CO_32	8194311	8198418	11	7	11_7_7_7_7_7_7_7_7_8_7	8195351	8197686	1040	732	3221	2336	4107	0	1	QFiFa
Chr4	17548762.5	1	1	3	1015	4	TRUE	QFiFa_Tet19	33	QFiFa_Tet19_CO_33	17547652	17549618	10	13	10_14_14_14_14_13	17548858	17548922	1206	696	1015	65	1966	0	4	QFiFa
Chr4	14890916.5	1	2	4	1652	3	TRUE	QFiFa_Tet19	34	QFiFa_Tet19_CO_34	14889955	14892363	10	4	10_12_12_12_4	14890226	14891122	271	1241	1652	897	2408	0	3	QFiFa
Chr4	15414409	2	2	4	2311	6	TRUE	QFiFa_Tet19	35	QFiFa_Tet19_CO_35	15411488	15415403	4	10	4_3_3_3_3_3_3_10	15411488	15415403	0	0	3915	3916	3915	6	0	QFiFa
Chr4	8479615	1	2	4	NA	7	TRUE	QFiFa_Tet19	36	QFiFa_Tet19_CO_36	8475278	8480517	7	13	7_5_7_7_7_7_5_5_13	8476300	8479673	1022	844	4306	3374	5239	3	0	QFiFa
Chr4	12724980.5	0	1	3	0	0	FALSE	QFiFa_Tet19	37	QFiFa_Tet19_CO_37	12723958	12726003	13	10	13_10	12723958	12726003	0	0	0	0	0	0	0	QFiFa
Chr5	8734736.5	0	2	3	0	0	FALSE	QFiFa_Tet19	38	QFiFa_Tet19_CO_38	8733909	8735564	13	11	13_11	8733909	8735564	0	0	0	0	0	0	0	QFiFa
Chr5	26497578.5	1	1	2	NA	3	TRUE	QFiFa_Tet19	39	QFiFa_Tet19_CO_39	26496382	26498160	14	11	14_10_10_12_11	26497102	26497488	720	672	1082	387	1778	0	2	QFiFa
Chr5	23406084.5	0	2	3	0	0	FALSE	QFiFa_Tet19	40	QFiFa_Tet19_CO_40	23405781	23406388	13	11	13_11	23405781	23406388	0	0	0	0	0	0	0	QFiFa
Chr5	4932591.5	0	2	3	0	0	FALSE	QFiFa_Tet19	41	QFiFa_Tet19_CO_41	4929002	4936181	13	11	13_11	4929002	4936181	0	0	0	0	0	0	0	QFiFa
Chr5	25972770	1	1	2	NA	17	TRUE	QFiFa_Tet19	42	QFiFa_Tet19_CO_42	25970333	25977890	11	10	11_9_9_9_9_9_9_9_9_9_10_10_10_10_10_10_10_14_10	25973209	25977770	2876	120	6059	4562	7557	9	1	QFiFa
Chr5	23576895	1	1	2	1778	1	TRUE	QFiFa_Tet19	43	QFiFa_Tet19_CO_43	23575356	23578912	11	10	11_12_10	23576656	23576656	1300	2256	1778	1	3556	0	1	QFiFa
Chr5	20146845.5	0	2	3	0	0	FALSE	QFiFa_Tet19	44	QFiFa_Tet19_CO_44	20107260	20186431	11	13	11_13	20107260	20186431	0	0	0	0	0	0	0	QFiFa
Chr5	17177078.5	0	1	4	0	0	FALSE	QFiFa_Tet19	45	QFiFa_Tet19_CO_45	17171968	17182189	11	4	11_4	17171968	17182189	0	0	0	0	0	0	0	QFiFa
Chr5	19022365	0	1	4	0	0	FALSE	QFiFa_Tet19	46	QFiFa_Tet19_CO_46	19022308	19022422	4	11	4_11	19022308	19022422	0	0	0	0	0	0	0	QFiFa
Chr5	8333428.75	1	2	4	NA	5	TRUE	QFiFa_Tet19	47	QFiFa_Tet19_CO_47	8332626	8335443	7	13	7_15_13_13_13_15_13	8333495	8334949	869	494	2135.5	1455	2817	0	2	QFiFa
Chr5	25803206	1	2	3	1167	1	TRUE	QFiFa_Tet19	48	QFiFa_Tet19_CO_48	25802059	25804393	13	11	13_9_11	25803186	25803186	1127	1207	1167	1	2334	1	0	QFiFa
Chr5	25586227	0	1	3	0	0	FALSE	QFiFa_Tet19	49	QFiFa_Tet19_CO_49	25585132	25587322	10	13	10_13	25585132	25587322	0	0	0	0	0	0	0	QFiFa
Chr5	21589060	0	1	4	0	0	FALSE	QFiFa_Tet19	50	QFiFa_Tet19_CO_50	21587292	21590828	6	13	6_13	21587292	21590828	0	0	0	0	0	0	0	QFiFa
Chr5	20597344.5	0	1	4	0	0	FALSE	QFiFa_Tet19	51	QFiFa_Tet19_CO_51	20563883	20630806	13	6	13_6	20563883	20630806	0	0	0	0	0	0	0	QFiFa
Chr5	5236934.5	1	3	4	NA	7	TRUE	QFiFa_Tet19	52	QFiFa_Tet19_CO_52	5233452	5237963	11	7	11_12_11_11_11_11_11_11_7	5233530	5235906	78	2057	3443.5	2377	4511	0	1	QFiFa
Chr1	409958	0	1	4	0	0	FALSE	QFiFa_Tet20	1	QFiFa_Tet20_CO_1	387895	432021	11	4	11_4	387895	432021	0	0	0	0	0	0	0	QFiFa
Chr1	27263072	0	1	2	0	0	FALSE	QFiFa_Tet20	2	QFiFa_Tet20_CO_2	27261944	27264200	6	7	6_7	27261944	27264200	0	0	0	0	0	0	0	QFiFa
Chr1	18906298.25	1	1	2	479.5	3	TRUE	QFiFa_Tet20	3	QFiFa_Tet20_CO_3	18905931	18906584	7	6	7_5_5_5_6	18906186	18906492	255	92	479.5	307	653	3	0	QFiFa
Chr1	12497738	0	1	4	0	0	FALSE	QFiFa_Tet20	4	QFiFa_Tet20_CO_4	12497519	12497957	6	13	6_13	12497519	12497957	0	0	0	0	0	0	0	QFiFa
Chr1	7548031	0	1	3	0	0	FALSE	QFiFa_Tet20	5	QFiFa_Tet20_CO_5	7545952	7550110	7	4	7_4	7545952	7550110	0	0	0	0	0	0	0	QFiFa
Chr1	1817993.75	1	2	3	1022.5	5	TRUE	QFiFa_Tet20	6	QFiFa_Tet20_CO_6	1817391	1819235	4	6	4_2_2_2_2_2_6	1817574	1817775	183	1460	1022.5	202	1844	5	0	QFiFa
Chr1	7841040	0	2	3	0	0	FALSE	QFiFa_Tet20	7	QFiFa_Tet20_CO_7	7840312	7841768	4	6	4_6	7840312	7841768	0	0	0	0	0	0	0	QFiFa
Chr1	2147841.5	1	1	4	878	1	TRUE	QFiFa_Tet20	8	QFiFa_Tet20_CO_8	2146945	2148701	6	13	6_14_13	2147860	2147860	915	841	878	1	1756	0	1	QFiFa
Chr1	23511293	1	2	4	1880	6	TRUE	QFiFa_Tet20	9	QFiFa_Tet20_CO_9	23510150	23512939	10	4	10_12_12_12_12_12_12_4	23510556	23511527	406	1412	1880	972	2789	0	6	QFiFa
